1 7 5	satellite.random.fast(min, max)	1 7 5
1 7 6	satellite.random.fast(min, max, step)	1 7 6
1 7 7	satellite.random.normal(digits)	1 7 7
1 7 8	satellite.random.normal(min, max)	1 7 8
1 7 9	satellite.random.normal(min, max, step)	1 7 9
1 7 10	satellite.random.ultra(digits)	1 7 10
1 7 11	satellite.random.ultra(min, max)	1 7 11
1 7 12	satellite.random.ultra(min, max, step)	1 7 12
1 7 13	satellite.random.seeded(seed)	1 7 13
1 7 14	satellite.random.seeded(min, max)	1 7 14
1 7 15	satellite.random.seeded(min, max, step)	1 7 15
1 7 16	satellite.random.seeded()	1 7 16
1 8	satellite.file	1 8
1 8 0	satellite.file()	1 8 0
1 8 1	satellite.file.new(path)	1 8 1
1 8 2	satellite.file.open(path, mode)	1 8 2
1 8 3	satellite.file.clear(path)	1 8 3
1 8 4	satellite.file.new(path, mode)	1 8 4
1 8 5	satellite.file.exists(path)	1 8 5
1 9	satellite.time	1 9
1 9 0	satellite.time()	1 9 0
1 9 1	satellite.time.now	1 9 1
1 9 2	satellite.time.new	1 9 2
1 9 3	satellite.time.sleep(n)	1 9 3
1 9 4	satellite.time.sleep(n, unit)	1 9 4
1 10	satellite.spacesuit	1 10
1 10 0	satellite.spacesuit()	1 10 0
1 11	satellite.protected	1 11
1 11 0	satellite.protected()	1 11 0
1 12	satellite.public	1 12
1 12 0	satellite.public()	1 12 0
1 13	satellite.statement	1 13
1 13 0	satellite.statement()	1 13 0
1 13 1	satellite.statement.if	1 13 1
1 13 2	satellite.statement.for	1 13 2
1 13 3	satellite.statement.while	1 13 3
1 13 4	satellite.statement.else	1 13 4
1 14	satellite.library	1 14
1 14 0	satellite.library()	1 14 0
1 14 1	satellite.library.main	1 14 1
1 14 1 0	satellite.library.main()	1 14 1 0
1 14 1 1	satellite.library.main.arguments	1 14 1 1
1 14 1 1 0	satellite.library.main.arguments()	1 14 1 1 0
1 14 1 1 1	satellite.library.main.arguments.machine	1 14 1 1 1
1 14 1 1 1 0	satellite.library.main.arguments.machine()	1 14 1 1 1 0
1 14 1 1 1 1	satellite.library.main.arguments.machine.cores	1 14 1 1 1 1
1 14 1 1 1 2	satellite.library.main.arguments.machine.cpu	1 14 1 1 1 2
1 14 1 1 1 3	satellite.library.main.arguments.machine.threads	1 14 1 1 1 3
1 14 1 1 1 4	satellite.library.main.arguments.machine.architecture	1 14 1 1 1 4
1 14 1 1 1 5	satellite.library.main.arguments.machine.byte_order	1 14 1 1 1 5
1 14 1 1 1 6	satellite.library.main.arguments.machine.page_size	1 14 1 1 1 6
1 14 1 1 1 7	satellite.library.main.arguments.machine.pointer_bits	1 14 1 1 1 7
1 14 1 1 2	satellite.library.main.arguments.memory	1 14 1 1 2
1 14 1 1 2 0	satellite.library.main.arguments.memory()	1 14 1 1 2 0
1 14 1 1 2 1	satellite.library.main.arguments.memory.total	1 14 1 1 2 1
1 14 1 1 3	satellite.library.main.arguments.username	1 14 1 1 3
1 14 1 1 4	satellite.library.main.arguments.system	1 14 1 1 4
1 14 1 1 4 0	satellite.library.main.arguments.system()	1 14 1 1 4 0
1 14 1 1 4 1	satellite.library.main.arguments.system.name	1 14 1 1 4 1
1 14 1 1 4 2	satellite.library.main.arguments.system.kernel	1 14 1 1 4 2
1 14 1 1 4 3	satellite.library.main.arguments.system.kernel_version	1 14 1 1 4 3
1 14 1 1 4 4	satellite.library.main.arguments.system.distribution	1 14 1 1 4 4
1 14 1 1 4 5	satellite.library.main.arguments.system.distribution_id	1 14 1 1 4 5
1 14 1 1 4 6	satellite.library.main.arguments.system.distribution_version	1 14 1 1 4 6
1 14 1 1 4 7	satellite.library.main.arguments.system.hostname	1 14 1 1 4 7
1 14 1 1 5	satellite.library.main.arguments.build	1 14 1 1 5
1 14 1 1 5 0	satellite.library.main.arguments.build()	1 14 1 1 5 0
1 14 1 1 5 1	satellite.library.main.arguments.build.compiler	1 14 1 1 5 1
1 14 1 1 5 2	satellite.library.main.arguments.build.compiler_version	1 14 1 1 5 2
1 14 1 1 5 3	satellite.library.main.arguments.build.standard	1 14 1 1 5 3
1 14 1 1 5 4	satellite.library.main.arguments.build.flags	1 14 1 1 5 4
1 14 1 1 5 5	satellite.library.main.arguments.build.make	1 14 1 1 5 5
1 14 1 1 5 6	satellite.library.main.arguments.build.standard_library	1 14 1 1 5 6
1 14 1 1 5 7	satellite.library.main.arguments.build.c_library	1 14 1 1 5 7
1 14 1 1 5 8	satellite.library.main.arguments.build.built	1 14 1 1 5 8
1 14 1 1 6	satellite.library.main.arguments.interpreter	1 14 1 1 6
1 14 1 1 6 0	satellite.library.main.arguments.interpreter()	1 14 1 1 6 0
1 14 1 1 6 1	satellite.library.main.arguments.interpreter.version	1 14 1 1 6 1
1 14 1 1 6 2	satellite.library.main.arguments.interpreter.library_path	1 14 1 1 6 2
1 14 1 1 6 3	satellite.library.main.arguments.interpreter.library_path_source	1 14 1 1 6 3
